id,store_name,food_name,Size,menu_tag,calorie,carbohydrate,protein,fat,salt,P_rate,F_rate,C_rate,P_diff,F_diff,C_diff,PFC_diff
2460,立命館大学生協食堂,ハンバーグおろしソース,,2,271,15.9,13.4,21.1,3,19.7785977859779,70.0738007380074,10.1476014760148,0,40.0738007380074,-39.8523985239852,79.9261992619926
2461,立命館大学生協食堂,鶏と茄子の辛味噌炒め,,2,468,12.5,34.6,26.4,2.3,29.5726495726496,50.7692307692308,19.6581196581197,9.57264957264957,20.7692307692308,-30.3418803418803,60.6837606837607
2462,立命館大学生協食堂,豚肉と野菜の生姜炒め,,2,292,12,17.9,21.2,2.5,24.5205479452055,65.3424657534247,10.1369863013699,4.52054794520548,35.3424657534247,-39.8630136986301,79.7260273972603
2463,立命館大学生協食堂,鯖の甘酢あんかけ,,2,320,17.7,23.4,6.4,2.3,29.25,18,52.75,9.25,-2,0,11.25
2464,立命館大学生協食堂,あさりと白菜のクリーム煮,,2,211,12.9,5.5,28,2.2,10.4265402843602,119.431279620853,-29.8578199052133,-2.57345971563981,89.4312796208531,-79.8578199052133,171.862559241706
2465,立命館大学生協食堂,揚げ鶏トマトソース,,2,576,32.3,38.3,20.8,2.6,26.5972222222222,32.5,40.9027777777778,6.59722222222222,2.5,-9.09722222222221,18.1944444444444
2466,立命館大学生協食堂,アメリカンコンボ,,2,503,23.4,31.1,30.6,3,24.7316103379722,54.7514910536779,20.5168986083499,4.73161033797217,24.7514910536779,-29.4831013916501,58.9662027833002
2467,立命館大学生協食堂,豆な野菜ポトフ,,2,93,4,1.3,17.5,1,5.59139784946237,169.354838709677,-74.9462365591398,-7.40860215053763,139.354838709677,-124.94623655914,271.709677419355
2468,立命館大学生協食堂,たらちゃん焼,,2,543,17.2,33.4,42.4,3.9,24.6040515653775,70.2762430939227,5.11970534069981,4.60405156537753,40.2762430939227,-44.8802946593002,89.7605893186004
2469,立命館大学生協食堂,ハンバーグフォンデュソース,,2,292,18.3,16.8,16,2,23.013698630137,49.3150684931507,27.6712328767123,3.01369863013699,19.3150684931507,-22.3287671232877,44.6575342465753
2470,立命館大学生協食堂,ロールキャベツクリームソース,,2,221,9.4,9,26.8,3.1,16.289592760181,109.140271493213,-25.4298642533937,0,79.1402714932127,-75.4298642533937,154.570135746606
2471,立命館大学生協食堂,チキンクリームシチュ-,,2,309,15,13.5,31,1.9,17.4757281553398,90.2912621359223,-7.76699029126213,0,60.2912621359223,-57.7669902912621,118.058252427184
2472,立命館大学生協食堂,豚とろキムチ炒め,,2,350,10.1,27.8,15.4,2.4,31.7714285714286,39.6,28.6285714285714,11.7714285714286,9.6,-21.3714285714286,42.7428571428571
2473,立命館大学生協食堂,がっつりキャベツミンチカツ,,2,704,15.9,51.3,43,3.3,29.1477272727273,54.9715909090909,15.8806818181818,9.14772727272727,24.9715909090909,-34.1193181818182,68.2386363636364
2474,立命館大学生協食堂,とり唐揚げ,,2,367,19.3,19.3,26.7,1.2,21.0354223433242,65.4768392370572,13.4877384196185,1.03542234332425,35.4768392370572,-36.5122615803815,73.024523160763
2475,立命館大学生協食堂,いわしの煮付け,,2,132,12.7,4.6,8.1,1,13.9393939393939,55.2272727272727,30.8333333333333,0,25.2272727272727,-19.1666666666667,44.3939393939394
2476,立命館大学生協食堂,鶏肉と野菜のトマト煮,,2,201,12.1,7.6,21.7,1.7,15.1243781094527,97.1641791044776,-12.2885572139303,0,67.1641791044776,-62.2885572139303,129.452736318408
2477,立命館大学生協食堂,鮭マスタードカツ,,2,465,13.2,35.4,21.6,1.2,30.4516129032258,41.8064516129032,27.741935483871,10.4516129032258,11.8064516129032,-22.258064516129,44.5161290322581
2478,立命館大学生協食堂,キャベツのスープ煮,,2,128,4.7,6.8,13.3,1.9,21.25,93.515625,-14.765625,1.25,63.515625,-64.765625,129.53125
2479,立命館大学生協食堂,クラムチャウダー,,2,248,12.7,7.9,31.8,2.4,12.741935483871,115.403225806452,-28.1451612903226,-0.258064516129032,85.4032258064516,-78.1451612903226,163.806451612903
2480,立命館大学生協食堂,鶏の塩麹柚子胡椒焼き,,2,458,32.1,29.6,12.2,3.9,25.8515283842795,23.9737991266376,50.174672489083,5.85152838427948,0,0,5.85152838427948
